unix_time,frontend_0_100,sent_0_100,vjoy_axis,sim_connect
1778446174.674717,33.558776,33.558776,,0.0
1778446174.675971,32.346044,32.346044,,0.0
1778446174.676975,29.694734,29.694734,,0.0
1778446174.710982,34.541916,34.541916,,0.0
1778446174.743287,35.39726,35.39726,,0.0
1778446174.778514,36.332482,36.332482,,0.0
1778446174.854789,37.183432,37.183432,,0.0
1778446174.923761,38.16005,38.16005,,0.0
1778446175.010006,39.029,39.029,,0.0
1778446175.205820,41.719489,41.719489,,0.0
1778446175.206319,40.877439,40.877439,,0.0
1778446175.206319,39.891176,39.891176,,0.0
1778446175.231591,42.647572,42.647572,,0.0
1778446175.267708,43.55428,43.55428,,0.0
1778446175.313118,44.728382,44.728382,,0.0
1778446175.396412,46.604827,46.604827,,0.0
1778446175.402945,45.79394,45.79394,,0.0
1778446175.433408,47.470778,47.470778,,0.0
1778446175.471148,48.467371,48.467371,,0.0
1778446175.511956,49.571132,49.571132,,0.0
1778446175.537827,50.513884,50.513884,,0.0
1778446175.580068,51.594678,51.594678,,0.0
1778446175.727797,53.283018,53.283018,,0.0
1778446175.728796,52.463928,52.463928,,0.0
1778446175.772162,54.269848,54.269848,,0.0
1778446175.826594,55.156512,55.156512,,0.0
1778446175.898262,56.036503,56.036503,,0.0
1778446176.101864,56.857562,56.857562,,0.0
1778446176.770290,58.473333,58.473333,,0.0
1778446176.795977,61.097749,61.097749,,0.0
1778446176.796481,59.656533,59.656533,,0.0
1778446176.796481,62.666019,62.666019,,0.0
1778446176.797483,64.196097,64.196097,,0.0
1778446176.797986,65.692565,65.692565,,0.0
1778446176.819023,67.109458,67.109458,,0.0
1778446176.863261,68.356323,68.356323,,0.0
1778446176.863261,69.453564,69.453564,,0.0
1778446176.864494,71.26884,71.26884,,0.0
1778446176.864494,70.419136,70.419136,,0.0
1778446176.888574,72.67459,72.67459,,0.0
1778446176.913220,73.763202,73.763202,,0.0
1778446176.953929,74.700224,74.700224,,0.0
1778446177.003284,75.724751,75.724751,,0.0
1778446177.066148,76.602185,76.602185,,0.0
1778446177.308571,77.443934,77.443934,,0.0
1778446179.168235,75.030667,75.030667,,0.0
1778446179.169744,71.576987,71.576987,,0.0
1778446179.216959,58.201218,58.201218,,0.0
1778446179.217963,51.217072,51.217072,,0.0
1778446179.222957,66.137748,66.137748,,0.0
1778446179.269425,39.662501,39.662501,,0.0
1778446179.272930,45.071024,45.071024,,0.0
1778446179.388381,34.903001,34.903001,,0.0
1778446179.391299,23.785418,23.785418,,0.0
1778446179.391801,30.714641,30.714641,,0.0
1778446179.392803,27.028884,27.028884,,0.0
1778446179.400830,20.931168,20.931168,,0.0
1778446179.415969,18.419427,18.419427,,0.0
1778446179.476015,16.209096,16.209096,,0.0
1778446179.477760,14.264005,14.264005,,0.0
1778446179.478760,11.046045,11.046045,,0.0
1778446179.479259,9.72052,9.72052,,0.0
1778446179.479259,12.552324,12.552324,,0.0
1778446179.480766,8.554057,8.554057,,0.0
1778446179.541069,7.52757,7.52757,,0.0
1778446179.542070,5.129829,5.129829,,0.0
1778446179.542070,6.624262,6.624262,,0.0
1778446179.564634,3.972539,3.972539,,0.0
1778446179.605215,3.076334,3.076334,,0.0
1778446179.669151,2.096436,2.096436,,0.0
1778446179.746039,1.257223,1.257223,,0.0
1778446179.909377,0.452141,0.452141,,0.0
1778446180.050920,0.0,0.0,,0.0
1778446192.493563,1.772,1.772,,0.0
1778446192.494903,3.45936,3.45936,,0.0
1778446192.525613,5.644237,5.644237,,0.0
